label,comment
Interested in products or services,"Yes Marina, It's essential for me to learn English from you and thank you for introducing online jobs. I need to work in an online job Marina. You are a kind person. Nobody helps me to earn good money, but you are helping me Marina."
Interested in products or services,That's what I've always wanted
Interested in products or services,I am not a professional guy. I am just studying from you because I am not so good at saying or writing in English. I am a 14-year-old student.
Interested in products or services,Do you think it's still essential to learn English in today's world?
Interested in products or services,"Hi Marina, thanks for sharing these useful videos! Is that a website or an app? I was trying to find it in the Apple Store, but it doesn’t seem to be there. Thanks!"
Interested in products or services,What is the name of the app? 😃😃😃 I really need it 🤗
Interested in products or services,I really need it 🤗
Interested in products or services,Which website does this?
Interested in products or services,What is the name of app in the Apple store?
Interested in products or services,I am going to check the apps and webs as you have written in this content
Interested in products or services,I am from Azerbaijan I do not speak English language but I want that I learn English language
Interested in products or services,"Hey everyone! My name is Shivesh. I am an Upper intermediate to Advanced English learner and I live in India. I have been studying English for a few years, but now I really want to get a better job. So, I need to improve my English. I am looking for a speaking partner to practice with two times a week. I can meet via Google meet, Zoom, or WhatsApp. Would anyone like to practice with me and improve their English too?"
Interested in products or services,"Hello, Marina!!! I'd like to know how to sound natural like a native English speaker, speaking fast, and not getting my tongue twisted kinda"
Requests,Can you do some series of lessons to prepare for ilets exam in an amazing playlist as usual ️ ️ ️ we always trust you I love u so much ️ ️ from Algeria 🇩🇿
Requests,hii mam i want you teel you that plz make a video on proper english like how foreginers speak so that we can come to know that whats the real prounciation and how to speak fastly the words
Requests,Could you make a video speaking in Spanish (with AI)
Requests,That's really great idea to improve our pronunciation and speaking skills and build confidence too! Really looking forward to more such videos!
Requests,"Please make some more video like this marina, i really enjoy to practice my pronounciation"
Requests,This is so great. I want you to make this kind of video more. It's very practical and fun to study by myself.
Requests,"As a follower of you, I highly request you to make a video on ""connected Speech, Linking words, Construction form of words, reduce sounds, intonation, assimilation, reduction etc"" in a single video. Even if the video duration is longer than 1 or 2 hours"
Requests,"Could you make a video about how to pronounce ""th"", ""r"", and other complicated sounds which is not usually easy to pronounce in Russian, please"
Compliments,"Dear Marina,I just wanted to say a big thank you for your amazing YouTube content that has helped me improve my English so much!"
Compliments,"Marina, thank you for making this video. I continue to learn English well. Thanks for the advice. We learners need a teacher like you."
Compliments,"Marina, your content is a sight for sore eyes Thank you so much for your positivity, energy, smile and great mood."
Compliments,Thank you for showing us all this. It is very useful!
Compliments,"Great content, very informative thank you"
Compliments,"Hello Marina, Thank you for sharing this insightful video."
Compliments,"really great video! You inspire me, thank you :D"
Compliments,Thank you a lot for this video! It is very helpful and gives so much needed information.
Hate Speech,"Please read this The Israeli occupation, a fact even acknowledged by Israelis, traces back to 1948 when the Balfour Declaration of 1917 pledged support for a Jewish national home in Palestine"
Hate Speech,Who is that scared woman in the picture?
Questions (can be potential leads),"Love your top, where’s is is from?"
Questions (can be potential leads),"I don't know why, I can only speak English when I’m alone at home and I’m scared when I meet people. Answer me if you can"
Questions (can be potential leads),As question we can dowlnload it from play store???
Questions (can be potential leads),Hi linguamarina can someone talk to you privately?
Questions (can be potential leads),"I have been studying English for two years and I could reach the intermediate level , but , I am feeling stuck in this level"
Random,I thought you were freaking out because of what your dog did to your sweater. 😂
Random,Actually I was concentrating on your pullover. 😁
